Open,High,Low,Close,Adj Close,Volume,Returns_t-1,monthly_return
54.18,58.880001,52.0,55.009998,37.701035,198082500,37.077381,0.016820335826847943
55.299999,56.700001,43.720001,49.18,33.748699,256873400,37.701035,-0.10483362061545509
49.0,54.790001,45.189999,53.48,36.699478,216148600,33.748699,0.08743385930225034
52.849998,57.0,48.099998,49.240002,33.78986,189286100,36.699478,-0.07928227208027327
49.240002,58.02,48.549999,53.549999,36.798378,281372000,33.78986,0.08903611911975973
53.59,56.200001,52.57,53.900002,37.038876,172707800,36.798378,0.006535559801032598
55.959999,56.740002,48.950001,50.509998,34.709366,172622000,37.038876,-0.06289364720462898
50.650002,52.18,46.919998,47.799999,32.895538,177204400,34.709366,-0.05225759525541318
47.77,49.790001,46.25,48.060001,33.074455,147045300,32.895538,0.005438944333422846
48.599998,54.860001,46.5,52.029999,35.806576,177796800,33.074455,0.08260517066721129
52.099998,57.509998,51.52,56.32,38.82579,169673200,35.806576,0.08432009807360519
56.32,56.950001,51.630001,52.610001,36.268204,190744000,38.82579,-0.06587337952428018
52.959999,55.59,52.119999,53.669998,36.998955,166620900,36.268204,0.020148530100911666
53.5,57.700001,53.0,55.91,38.606255,157989300,36.998955,0.04344176747694628
55.720001,59.48,54.779999,59.169998,40.857334,136669300,38.606255,0.058308660086299646
58.959999,60.200001,55.799999,55.849998,38.564831,175100700,40.857334,-0.0561099507863142
56.02,59.639999,56.009998,58.950001,40.705406,152140600,38.564831,0.05550588306739912
58.77,59.93,54.360001,55.639999,38.480511,172384700,40.705406,-0.05465846477492453
55.639999,55.66,50.5,53.049999,36.689281,280065600,38.480511,-0.046549018021096455
53.349998,54.950001,51.580002,53.849998,37.307884,201663800,36.689281,0.016860592062297508
54.200001,60.150002,54.150002,59.560001,41.26384,225419200,37.307884,0.10603538919548483
59.669998,61.310001,57.27,59.689999,41.353901,222337300,41.26384,0.0021825646861755033
58.75,60.139999,56.150002,57.0,39.57901,193281000,41.353901,-0.04291955431242156
57.0,57.52,53.450001,55.73,38.697166,205337100,39.57901,-0.02228059772086255
55.450001,57.830002,51.93,52.5,36.540398,214484500,38.697166,-0.05573452071399754
53.099998,54.189999,51.5,53.009998,36.895344,210007000,36.540398,0.009713796768168637
53.02,54.970001,51.080002,52.669998,36.658703,186258300,36.895344,-0.006413844521953704
52.459999,53.959999,51.099998,53.200001,37.11536,206640300,36.658703,0.01245698736259171
53.5,54.380001,51.91,53.919998,37.617683,185838900,37.11536,0.013534100167693186
53.919998,57.889999,52.060001,52.060001,36.320045,238267700,37.617683,-0.034495425994205964
52.5,53.650002,52.0,52.82,36.850258,231643800,36.320045,0.014598357463488698
53.75,54.599998,52.220001,52.400002,36.646282,183923700,36.850258,-0.005535266537346817
52.400002,53.740002,51.099998,51.610001,36.093784,181560100,36.646282,-0.015076508989370296
52.009998,53.490002,50.060001,50.110001,35.044735,373812500,36.093784,-0.029064533660421832
50.25,50.5,46.200001,47.139999,33.064846,337397100,35.044735,-0.0564960471237691
47.48,49.459999,46.599998,47.23,33.127968,255131200,33.064846,0.0019090365640899165
47.25,50.299999,47.209999,48.200001,33.916618,238335200,33.127968,0.023806168854062948
48.25,50.689999,48.150002,49.349998,34.725807,183397900,33.916618,0.023858186568012307
49.619999,49.869999,44.700001,44.959999,31.636732,280401100,34.725807,-0.08895617602205774
44.950001,46.48,42.310001,43.82,30.932077,445029400,31.636732,-0.02227331824285772
44.150002,47.549999,43.299999,47.310001,33.395641,309168500,30.932077,0.07964431227815694
47.119999,50.869999,46.610001,48.560001,34.277988,267771900,33.395641,0.026421023031119706
48.59,49.740002,46.75,46.799999,33.035656,258541900,34.277988,-0.03624285065972943
46.360001,46.950001,44.540001,46.110001,32.647568,322518700,33.035656,-0.01174754937513589
46.049999,47.02,44.52,45.360001,32.116558,236340600,32.647568,-0.016264917497070597
45.360001,48.869999,44.860001,47.240002,33.447651,267987900,32.116558,0.04144569290395328
47.27,47.310001,44.990002,45.029999,32.000938,197107100,33.447651,-0.04325305235934218
45.919998,50.0,45.540001,48.450001,34.431385,302008400,32.000938,0.07594924248782964
48.25,49.189999,46.549999,48.169998,34.352455,245733000,34.431385,-0.0022923852758174323
47.75,48.049999,42.310001,44.5,31.735216,269589700,34.352455,-0.07618782995276463
44.349998,45.450001,43.48,44.720001,31.892101,237088700,31.735216,0.00494356175171462
45.0,49.950001,44.02,49.32,35.305725,265210400,31.892101,0.10703666089606334
48.619999,52.150002,47.639999,49.279999,35.277092,365494300,35.305725,-0.0008110016151771093
49.380001,49.700001,45.970001,46.099998,33.000687,371959900,35.277092,-0.06452927015639509
46.0,46.889999,44.799999,46.18,33.057957,278046300,33.000687,0.0017354184171984866
47.09,48.779999,46.509998,47.689999,34.265007,289921200,33.057957,0.03651314568531849
47.509998,50.419998,47.439999,48.310001,34.710464,278003300,34.265007,0.013000347555744085
47.779999,48.32,45.060001,46.950001,33.733307,347369500,34.710464,-0.028151654786291447
47.060001,49.950001,46.830002,47.919998,34.595058,257144500,33.733307,0.025545998202903597
47.919998,48.880001,46.32,47.599998,34.364033,309199900,34.595058,-0.006677976952661924
47.900002,51.439999,47.689999,48.110001,34.893433,443564800,34.364033,0.015405642288843113
48.200001,49.259998,45.73,45.950001,33.326824,345381600,34.893433,-0.044896958118165076
46.049999,48.419998,42.919998,43.630001,31.644159,561399200,33.326824,-0.05048980965002858
43.509998,45.049999,42.09,43.650002,31.818401,376154000,31.644159,0.005506292646298538
43.830002,47.700001,43.27,45.209999,32.955563,437028000,31.818401,0.03573913095130066
44.700001,48.23,42.5,47.900002,34.916409,432340500,32.955563,0.059499696606609476
47.709999,50.049999,46.869999,47.529999,34.646709,304526500,34.916409,-0.00772416201219317
47.41,51.299999,43.110001,50.740002,37.153339,594609500,34.646709,0.0723482856625719
50.900002,51.57,47.84,49.59,36.311268,476630200,37.153339,-0.022664746229134503
49.43,54.150002,48.639999,52.68,38.57386,490180000,36.311268,0.06231101596341948
53.189999,59.040001,52.810001,57.98,42.656704,439232000,38.57386,0.10584483896607688
58.200001,59.09,55.049999,57.740002,42.480133,392991100,42.656704,-0.0041393493505732515
57.41,59.950001,55.849998,56.200001,41.52158,443348300,42.480133,-0.02256473632038769
56.0,59.560001,55.34,58.619999,43.309517,495577900,41.52158,0.04306042785462405
58.75,61.0,56.810001,59.07,43.641979,395839100,43.309517,0.0076764190189422266
59.900002,63.849998,57.740002,59.889999,44.426273,560153900,43.641979,0.017971091549262797
59.509998,60.299999,47.400002,55.810001,41.399742,748361300,44.426273,-0.06812480083575767
56.759998,57.25,50.200001,55.880001,41.451653,514798100,41.399742,0.0012538967030277792
55.369999,59.23,52.220001,56.060001,41.58519,469411500,41.451653,0.003221512058879661
55.98,57.509998,46.919998,47.119999,35.104725,518547200,41.58519,-0.15583588772829937
46.57,50.669998,46.25,49.240002,36.684143,509033200,35.104725,0.044991607255148613
48.810001,53.0,47.0,52.099998,38.814861,545295500,36.684143,0.058082807059169905
51.380001,54.57,47.639999,50.400002,37.760166,450522100,38.814861,-0.027172453354914805
50.5,51.380001,48.119999,49.740002,37.265682,377048900,37.760166,-0.013095387345489984
50.18,51.75,48.02,48.439999,36.487411,417698500,37.265682,-0.020884389020439653
48.549999,50.43,47.349998,49.880001,37.572094,369068900,36.487411,0.029727595635656412
50.220001,52.560001,48.75,50.869999,38.317814,344252000,37.572094,0.019847709313193906
50.810001,52.099998,48.73,49.09,37.179859,375673300,38.317814,-0.0296978058299463
49.07,52.0,48.73,49.68,37.626724,374017800,37.179859,0.012019007387844116
49.810001,55.09,49.52,54.549999,41.315163,306009700,37.626724,0.09802710966811756
54.849998,55.080002,52.310001,53.450001,40.48204,264681300,41.315163,-0.020165066273610033
53.740002,55.200001,52.509998,53.43,40.670963,291591500,40.48204,0.0046668349717553514
53.619999,54.5,52.66,54.07,41.158127,278505000,40.670963,0.011978177157988545
54.040001,56.27,53.150002,55.599998,42.322769,270764400,41.158127,0.028296768703784725
